City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,utrik,11.2278,169.8474,301.24,80,26,9.29,MH,1698623139
309,kazanka,47.8462,32.8218,284.26,67,8,3.38,UA,1698623140
310,macau,22.2006,113.5461,298.04,83,40,4.12,MO,1698623108
311,selibaby,15.159,-12.1829,304.78,41,29,2.28,MR,1698623140
312,eyl,7.9803,49.8164,299.43,79,99,5.36,SO,1698623140
313,shushtar,32.0455,48.8567,297.99,28,100,1.05,IR,1698623141
314,harper,4.375,-7.7169,298.82,87,0,2.83,LR,1698623141
315,qusmuryn,52.4503,64.6311,281.33,82,96,8.09,KZ,1698623141
316,vadso,70.0744,29.7487,267.24,93,75,3.6,NO,1698622909
317,sisimiut,66.9395,-53.6735,270.82,71,100,4.52,GL,1698622930
318,opuwo,-18.0607,13.84,294.9,16,37,2.72,NA,1698623142
319,talara,-4.5772,-81.2719,295.57,83,0,7.72,PE,1698623142
320,forbes,-33.3833,148.0167,302.55,13,32,10.13,AU,1698623143
321,tayaman,13.2295,120.5726,301.08,72,52,2.38,PH,1698623143
322,maun,-19.9833,23.4167,299.13,34,0,1.03,BW,1698623143
323,caninde,-4.3589,-39.3117,299.85,57,49,0.93,BR,1698623143
324,moussoro,13.6408,16.4901,302.68,13,25,4.43,TD,1698623144
325,lospalos,-8.5186,127.0025,300.41,60,65,3.4,TL,1698623144
326,raseiniai,55.3736,23.1217,281.59,95,100,4.31,LT,1698623144
327,izki,22.9333,57.7667,296.04,71,79,1.63,OM,1698623144
328,holualoa,19.6228,-155.9522,300.8,71,0,4.63,US,1698622897
329,zhumysker,49.3333,49.4,280.22,74,24,7.01,KZ,1698623145
330,sidhi,24.4167,81.8833,291.28,60,3,1.08,IN,1698623145
331,song cau,13.45,109.2167,299.12,85,43,2.92,VN,1698623146
332,okhotsk,59.3833,143.3,268.8,75,20,3.71,RU,1698623146
333,zag,46.9441,99.165,270.24,88,82,1.79,MN,1698623146
334,tarakan,3.3,117.6333,300.87,94,40,2.06,ID,1698623146
335,san antonio de pale,-1.4014,5.6325,299.49,84,10,4.21,GQ,1698623147
336,quesnel,52.9999,-122.5029,278.43,36,0,1.54,CA,1698623147
337,kapa'a,22.0752,-159.319,302.33,71,40,4.63,US,1698622905
338,zalingei,12.9096,23.4741,299.71,33,82,1.24,SD,1698623147
339,saint-pierre,-21.3393,55.4781,296.97,83,100,4.12,RE,1698623148
340,monrovia,6.3005,-10.7969,298.02,85,17,2.6,LR,1698622898
341,lalibela,12.0333,39.0333,287.32,75,59,1.73,ET,1698623148
342,njinikom,6.2333,10.2833,290.87,89,68,2.02,CM,1698623148
343,aracena,37.894,-6.5612,285.76,98,100,4.91,ES,1698623149
344,zeribet el oued,34.6828,6.5111,299.31,27,94,4.66,DZ,1698623149
345,carqueiranne,43.0953,6.073,292.91,84,75,3.09,FR,1698623149
346,trinity beach,-16.7888,145.6968,303.18,52,91,6.17,AU,1698623149
347,itoman,26.1247,127.6694,297.58,66,20,5.14,JP,1698622942
348,farafangana,-22.8167,47.8333,296.2,92,13,2.81,MG,1698623150
349,kawambwa,-9.7915,29.0791,292.23,80,100,0.36,ZM,1698623150
350,polyarnyy,69.1989,33.4478,266.78,92,100,3.02,RU,1698623150
351,pariaman,-0.619,100.12,298.18,86,100,1.22,ID,1698623150
352,brokopondo,4.75,-55.1667,301.79,70,95,4.78,SR,1698623151
353,vorgashor,67.5833,63.95,255.24,98,22,2.21,RU,1698623151
354,ndende,-2.4008,11.3581,296.59,99,82,1.12,GA,1698623151
355,huarmey,-10.0681,-78.1522,293.12,85,63,4.08,PE,1698623151
356,naryn,41.4287,75.9911,279.69,56,100,1.74,KG,1698623151
357,dryden,49.7833,-92.7503,268.31,86,100,3.09,CA,1698622943
358,port saint john's,-31.6229,29.5448,287.67,62,98,2.62,ZA,1698623152
359,tarauaca,-8.1614,-70.7656,297.67,86,100,1.85,BR,1698623030
360,berdigestyakh,62.0989,126.6992,251.18,100,75,0.91,RU,1698623152
361,hasaki,35.7333,140.8333,291.09,63,0,8.3,JP,1698623115
362,darnah,32.767,22.6367,294.57,81,78,3.69,LY,1698623153
363,pervomayskiy,53.2485,40.2871,273.65,84,100,4.46,RU,1698623153
364,belyy yar,53.6039,91.3903,264.09,92,0,0.0,RU,1698623153
